;NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_TEMPO_ADICIONAL;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
0;190001595656;2019;3552205;Sorocaba;35;SP;36;M;1;3;1;2914802.0;Itabuna;29.0;BA;1;11;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3552205;Sorocaba;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;A;A;2;A;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;C;A;C;B
1;190001421546;2019;2910800;Feira de Santana;29;BA;23;M;1;1;1;2910800.0;Feira de Santana;29.0;BA;1;5;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2910800;Feira de Santana;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;E;B;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;E;A;A;B
2;190001133210;2019;2304400;Fortaleza;23;CE;39;F;1;3;1;2304400.0;Fortaleza;23.0;CE;1;13;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;B;C;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
3;190001199383;2019;1721000;Palmas;17;TO;25;F;1;1;1;1721000.0;Palmas;17.0;TO;1;4;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1721000;Palmas;17;TO;1;1;1;1;504.0;510.0;513.0;516.0;483.8;503.6;537.3;392.0;BACCEEBEECDBEDDAEECDEDEADEBBCDBCAACADEEACCBBD;AECEDADAABAADBAADAEBACBAECCDAEADCDBBECCEDABCD;99999AAABEBBCCBDCAEECADBACAADAECCCDCCBAEBDEEEAEECA;DDBBBBCDCCDCAECCBBECDAEBADCD..CABCCECAEBDBBDA;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1.0;120.0;120.0;120.0;100.0;0.0;460.0;C;E;B;D;4;E;A;C;C;A;B;B;A;B;A;A;A;A;C;A;B;D;A;B;B
4;190001237802;2019;3118601;Contagem;31;MG;22;F;1;1;1;3118601.0;Contagem;31.0;MG;1;4;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3118601;Contagem;31;MG;1;1;1;1;504.0;510.0;513.0;516.0;513.6;575.5;570.7;677.0;EEBEDEEEEEBDCEEBEEEEABEEBEEBAEDEECECCDBCECEAE;EEDCCEDDBCBEABAAABADCEDABDBBCBDCCCCDAEDEDBDCB;ABBBE99999ABBCACCCAEEEDCCDADCCAEDEDDEEDBBDECBDECCC;CDEEEEEAEECBABABCDCACEEEEEEDEEACEAEDEBEEECEDE;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1.0;160.0;120.0;180.0;200.0;200.0;860.0;E;E;C;C;3;G;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;C;B;B;B
5;190001782198;2019;5107602;Rondonópolis;51;MT;37;M;2;2;1;5107602.0;Rondonópolis;51.0;MT;1;13;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5107602;Rondonópolis;51;MT;1;1;1;1;505.0;508.0;512.0;518.0;563.7;644.9;564.2;675.3;DCDBDEDCDDBCBEADBEBBCDBDBDEBEBACABDBDADEDACAE;ABABADBECAEEBCBBDCBEEDBDEADBEACDBEEBAACABACEB;BBDDA99999ABACBECEAECECCDEAEDCDAEBDAEDEDECABCAADCD;DDCBADCBCDEABEACEBBCADEBEECEADBECDBADEAECACDD;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1.0;160.0;200.0;180.0;180.0;80.0;800.0;B;B;C;B;7;E;A;B;D;A;C;B;A;B;A;B;A;A;B;A;A;E;A;B;B
6;190001421548;2019;2924009;Paulo Afonso;29;BA;22;F;1;3;1;2924009.0;Paulo Afonso;29.0;BA;1;5;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2924009;Paulo Afonso;29;BA;1;1;1;1;505.0;508.0;512.0;518.0;484.6;488.4;507.2;594.7;BADEBCACADECAEAAAECCCDEACCEA.ECCDDCECBEBADAAC;AAAECDAACDAEDCDBDCBBDDAECBBECBDDDECCACCEDEACA;99999BEDAACECEACDCDEBECACBDDECAACDBACDCAECADEACEBD;ACBBAECECDBDDDCEDCEACDBCDCDDAAEAEDDCECDCBDECB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1.0;140.0;120.0;120.0;160.0;60.0;600.0;E;B;C;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
7;190001595657;2019;3550308;São Paulo;35;SP;20;M;1;3;1;3550308.0;São Paulo;35.0;SP;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;B;B;B;2;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
8;190001592264;2019;3550308;São Paulo;35;SP;20;F;1;1;1;3550308.0;São Paulo;35.0;SP;1;1;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;C;C;F;6;C;A;B;C;A;A;B;B;A;A;B;A;A;B;A;A;B;B;A;A
9;190001592266;2019;3550308;São Paulo;35;SP;17;M;1;1;1;3550308.0;São Paulo;35.0;SP;2;0;2;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3550308;São Paulo;35;SP;1;1;1;1;505.0;509.0;514.0;518.0;543.9;548.1;502.5;480.7;BADADDBADBBECEBBCECBCBEBBBCBABDECDEACADDADCEE;CDACAEDDABABADCEBABCBEEBACBBCBCDADCEEDABCAADA;EBBBC99999BCDBEBEECCDACDADEBABCBDDBDDBAEECCBACDBCC;DACCDBCBBDDDCCAECBABBABCCBCEBDBCBBBACCBCCEDCB;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1.0;120.0;40.0;120.0;120.0;0.0;400.0;E;E;B;B;5;F;A;B;C;B;A;B;B;B;A;B;A;A;B;A;B;C;B;B;B
